Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771948643,50,,Aggregated,3.500000,0.000000,340,740,1300,2100,6200,26000,52000,56000,59000,59000,59000,483,0,340.0,3498.6538756893046,34.78272905340418,58659.5294639701,6285279.33126294
1771948644,50,,Aggregated,3.800000,0.000000,340,740,1300,2100,6200,26000,52000,56000,59000,59000,59000,485,0,340.0,3486.5978689627846,34.78272905340418,58659.5294639701,6260789.818556701
1771948645,50,,Aggregated,3.800000,0.000000,340,740,1300,2000,6200,26000,52000,56000,59000,59000,59000,490,0,340.0,3458.274681824473,34.78272905340418,58659.5294639701,6212940.026530612
1771948646,50,,Aggregated,3.800000,0.000000,340,750,1300,2100,6500,29000,53000,56000,61000,61000,61000,495,0,340.0,3571.2642431958825,34.78272905340418,60670.442041999195,6336219.078787879
1771948647,50,,Aggregated,3.800000,0.000000,350,740,1300,2100,6500,29000,53000,56000,61000,61000,61000,498,0,340.0,3552.25532642172,34.78272905340418,60670.442041999195,6299604.9397590365
1771948648,50,,Aggregated,4.100000,0.000000,370,770,1300,2200,7500,31000,54000,57000,65000,65000,65000,505,0,370.0,3789.4033009149503,34.78272905340418,64593.49873900646,6550521.431683169
1771948649,50,,Aggregated,4.100000,0.000000,370,750,1300,2100,7500,31000,54000,57000,65000,65000,65000,507,0,370.0,3775.757002449871,34.78272905340418,64593.49873900646,6524954.1715976335
1771948650,50,,Aggregated,4.100000,0.000000,370,750,1300,2100,7500,31000,54000,57000,65000,65000,65000,507,0,370.0,3775.757002449871,34.78272905340418,64593.49873900646,6524954.1715976335
1771948651,50,,Aggregated,4.300000,0.000000,370,770,1300,2100,6800,31000,54000,57000,65000,65000,65000,511,0,370.0,3756.0273222269857,34.78272905340418,64593.49873900646,6477059.428571428
1771948652,50,,Aggregated,4.300000,0.000000,370,770,1300,2200,6800,31000,54000,57000,65000,65000,65000,513,0,370.0,3747.0022951793762,34.78272905340418,64593.49873900646,6452104.571150097
1771948653,50,,Aggregated,3.800000,0.000000,370,750,1300,2200,6800,31000,54000,57000,65000,65000,65000,515,0,370.0,3733.4787327068343,34.78272905340418,64593.49873900646,6427182.6368932035
1771948654,50,,Aggregated,3.500000,0.000000,370,770,1400,2100,6800,31000,54000,57000,65000,65000,65000,516,0,370.0,3729.2133957830524,34.78272905340418,64593.49873900646,6414995.048449612
1771948655,50,,Aggregated,3.500000,0.000000,370,770,1300,2100,6800,31000,54000,57000,65000,65000,65000,517,0,370.0,3722.128505123882,34.78272905340418,64593.49873900646,6402589.719535783
1771948656,50,,Aggregated,3.400000,0.000000,370,750,1300,2100,6800,31000,54000,57000,65000,65000,65000,518,0,370.0,3716.2295334267205,34.78272905340418,64593.49873900646,6390363.138996139
1771948657,50,,Aggregated,3.100000,0.000000,370,770,1300,2100,6800,31000,54000,57000,65000,65000,65000,519,0,370.0,3711.578810872956,34.78272905340418,64593.49873900646,6378183.674373796
1771948658,50,,Aggregated,2.400000,0.000000,370,770,1300,2100,6500,29000,54000,57000,65000,65000,65000,521,0,370.0,3706.364492785218,34.78272905340418,64593.49873900646,6355053.593090211
1771948659,50,,Aggregated,2.200000,0.000000,370,780,1400,2200,6800,29000,54000,57000,65000,65000,65000,522,0,370.0,3713.5544825308257,34.78272905340418,64593.49873900646,6345592.8678160915
1771948660,50,,Aggregated,1.800000,0.000000,380,790,1400,2300,7500,31000,54000,57000,65000,65000,65000,527,0,380.0,3813.947014525653,34.78272905340418,64593.49873900646,6437483.10056926
1771948661,50,,Aggregated,1.800000,0.000000,390,810,1400,2500,7900,32000,54000,58000,67000,67000,67000,530,0,380.0,3966.724694860475,34.78272905340418,66915.93573900172,6549344.847169811
1771948662,50,,Aggregated,1.400000,0.000000,400,830,1500,2500,7900,32000,55000,59000,67000,67000,67000,534,0,390.0,4087.6931401236902,34.78272905340418,66915.93573900172,6651485.672284644
1771948663,50,,Aggregated,1.800000,0.000000,390,820,1400,2500,7900,32000,55000,59000,67000,67000,67000,537,0,390.0,4065.372801560443,34.78272905340418,66915.93573900172,6614332.255121043
1771948664,50,,Aggregated,1.900000,0.000000,390,830,1500,2500,7900,32000,55000,59000,67000,67000,67000,540,0,390.0,4051.4269346572864,34.78272905340418,66915.93573900172,6591983.075925926
1771948665,50,,Aggregated,2.300000,0.000000,410,850,1400,2500,7900,32000,55000,59000,67000,67000,67000,545,0,410.0,4045.56187009535,34.78272905340418,66915.93573900172,6548563.130275229
1771948666,50,,Aggregated,2.500000,0.000000,420,850,1500,2700,9300,32000,55000,59000,67000,67000,67000,549,0,420.0,4098.291856630214,34.78272905340418,66915.93573900172,6539805.207650273
